type,id,carrier,bus,v_nom,p_nom_MW,state,lat,lon,bus_evac_MVA,nearest_real,real_MW,real_kV,dist_km,issues
generator,13692,gas_ccgt,36532,380,1645.0,Niedersachsen,52.477,7.308,16111,Emsland-D,863,380,0.8,AGGREGATION_CONV (1.9x nearest real Emsland-D)
storage,1082,pumped_hydro,25378,110,1538.0,Bayern,47.437,10.288,0,Walchensee,124,110,75.7,GHOST (>76 km from any real pumped-hydro plant); OVERSIZED (1538 MW > 250 MW threshold for 110 kV)
generator,11323,gas_ccgt,34767,380,1326.0,Nordrhein-Westfalen,50.864,6.843,0,Knapsack,792,220,1.1,AGGREGATION_CONV (1.7x nearest real Knapsack); VOLT_MISMATCH (model 380 vs real Knapsack's 220 kV)
generator,12987,coal,36079,380,1102.0,Hessen,50.083,8.959,11581,Mannheim GKM,2050,220,78.2,GHOST_CONV (>78 km from any real hard_coal plant); VOLT_MISMATCH (model 380 vs real Mannheim GKM's 220 kV)
generator,6362,coal,19951,380,1098.0,Baden-Württemberg,49.452,8.544,0,Mannheim GKM,2050,220,4.9,VOLT_MISMATCH (model 380 vs real Mannheim GKM's 220 kV)
generator,13729,gas_chp,36558,110,893.3,Rheinland-Pfalz,50.028,8.237,0,Block Mainz K6,300,220,5.2,AGGREGATION_CONV (3.0x nearest real Block Mainz K6); VOLT_MISMATCH (model 110 vs real Block Mainz K6's 220 kV); OVERSIZED (893 MW > 250 MW threshold for 110 kV)
generator,18184,gas_chp,40118,110,826.4,Nordrhein-Westfalen,51.213,6.715,0,Lausward (DUS),600,380,2.7,VOLT_MISMATCH (model 110 vs real Lausward (DUS)'s 380 kV); OVERSIZED (826 MW > 250 MW threshold for 110 kV)
generator,12140,gas_chp,35481,110,824.0,Bayern,49.419,11.008,2900,Irsching 4/5,1410,380,80.4,GHOST_CONV (>80 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Irsching 4/5's 380 kV); OVERSIZED (824 MW > 250 MW threshold for 110 kV)
storage,2004,pumped_hydro,37397,110,789.0,Bayern,47.481,11.063,780,Walchensee,124,110,22.8,AGGREGATION (6.4x nearest real); EVAC_DEFICIT (bus capacity 780 MVA < gen+stor 798 MW); OVERSIZED (789 MW > 250 MW threshold for 110 kV)
generator,17334,coal,39445,380,778.0,Baden-Württemberg,49.178,9.207,4897,Heilbronn,860,220,2.3,VOLT_MISMATCH (model 380 vs real Heilbronn's 220 kV)
generator,4788,coal,14374,380,756.0,Baden-Württemberg,48.719,9.373,0,Walheim,154,220,35.2,AGGREGATION_CONV (4.9x nearest real Walheim); VOLT_MISMATCH (model 380 vs real Walheim's 220 kV)
generator,16855,coal,38843,380,746.0,Nordrhein-Westfalen,51.615,7.461,0,Knepper,345,220,6.6,AGGREGATION_CONV (2.2x nearest real Knepper); VOLT_MISMATCH (model 380 vs real Knepper's 220 kV)
generator,15506,coal,37820,380,726.0,Saarland,49.369,7.236,0,Bexbach,721,220,2.7,VOLT_MISMATCH (model 380 vs real Bexbach's 220 kV)
generator,6064,coal,19082,380,726.0,Niedersachsen,53.571,8.136,0,Bremen Hafen,720,220,68.3,GHOST_CONV (>68 km from any real hard_coal plant); VOLT_MISMATCH (model 380 vs real Bremen Hafen's 220 kV)
generator,18702,gas_chp,40330,110,720.0,Nordrhein-Westfalen,50.978,6.971,0,Knapsack,792,220,15.4,VOLT_MISMATCH (model 110 vs real Knapsack's 220 kV); OVERSIZED (720 MW > 250 MW threshold for 110 kV)
generator,11609,oil,35048,380,720.0,Bayern,48.761,11.508,2901,Ingolstadt 4,446,220,5.2,AGGREGATION_CONV (1.6x nearest real Ingolstadt 4); VOLT_MISMATCH (model 380 vs real Ingolstadt 4's 220 kV)
generator,4730,gas_chp,14197,110,709.7,Nordrhein-Westfalen,51.491,6.723,1040,Lausward (DUS),600,380,28.5,VOLT_MISMATCH (model 110 vs real Lausward (DUS)'s 380 kV); OVERSIZED (710 MW > 250 MW threshold for 110 kV)
generator,13498,coal,36394,380,655.6,Saarland,49.375,6.996,9462,Bexbach,721,220,17.9,VOLT_MISMATCH (model 380 vs real Bexbach's 220 kV)
generator,7865,reservoir,25378,110,640.2,Bayern,47.437,10.288,0,,,,,OVERSIZED (640 MW > 250 MW threshold for 110 kV)
generator,18053,gas_chp,40071,110,618.5,Bayern,48.128,11.563,560,Irsching 4/5,1410,380,80.3,GHOST_CONV (>80 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Irsching 4/5's 380 kV); OVERSIZED (618 MW > 250 MW threshold for 110 kV)
generator,3717,gas_chp,10062,110,604.5,Bremen,53.13,8.679,0,Emsland-D,863,380,121.4,GHOST_CONV (>121 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Emsland-D's 380 kV); OVERSIZED (604 MW > 250 MW threshold for 110 kV)
generator,13055,coal,36150,380,564.0,Berlin,52.532,13.249,4265,Mehrum,690,380,222.4,GHOST_CONV (>222 km from any real hard_coal plant)
generator,1205,gas_chp,2182,110,562.0,Nordrhein-Westfalen,51.089,6.825,2080,Lausward (DUS),600,380,17.5,VOLT_MISMATCH (model 110 vs real Lausward (DUS)'s 380 kV); OVERSIZED (562 MW > 250 MW threshold for 110 kV)
generator,12502,coal,35730,380,514.0,Mecklenburg-Vorpommern,54.141,12.13,0,Tiefstack (HH),184,110,162.7,GHOST_CONV (>163 km from any real hard_coal plant); VOLT_MISMATCH (model 380 vs real Tiefstack (HH)'s 110 kV)
generator,112,coal,12,380,472.0,Bayern,48.241,11.798,5802,Walheim,154,220,204.4,GHOST_CONV (>204 km from any real hard_coal plant); VOLT_MISMATCH (model 380 vs real Walheim's 220 kV)
generator,15311,gas_chp,37692,110,436.0,Hessen,50.096,8.542,0,Block Mainz K6,300,220,19.9,VOLT_MISMATCH (model 110 vs real Block Mainz K6's 220 kV); OVERSIZED (436 MW > 250 MW threshold for 110 kV)
generator,17295,coal,39406,380,435.0,Nordrhein-Westfalen,51.555,7.172,9838,Knepper,345,220,15.9,VOLT_MISMATCH (model 380 vs real Knepper's 220 kV)
generator,8962,gas_chp,27602,110,427.0,Nordrhein-Westfalen,50.835,6.323,2600,Knapsack,792,220,36.4,VOLT_MISMATCH (model 110 vs real Knapsack's 220 kV); OVERSIZED (427 MW > 250 MW threshold for 110 kV)
generator,2963,gas_chp,7885,110,423.0,Nordrhein-Westfalen,51.405,7.41,3120,Hamm-Uentrop,860,380,50.6,GHOST_CONV (>51 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Hamm-Uentrop's 380 kV); OVERSIZED (423 MW > 250 MW threshold for 110 kV)
generator,14142,coal,36863,110,390.0,Saarland,49.249,6.884,2600,Bexbach,721,220,27.8,VOLT_MISMATCH (model 110 vs real Bexbach's 220 kV); OVERSIZED (390 MW > 250 MW threshold for 110 kV)
generator,11286,oil,34732,110,386.8,Bayern,48.179,11.639,1120,Ingolstadt 4,446,220,60.8,GHOST_CONV (>61 km from any real oil plant); VOLT_MISMATCH (model 110 vs real Ingolstadt 4's 220 kV); OVERSIZED (387 MW > 250 MW threshold for 110 kV)
generator,15415,gas_ccgt,37760,380,378.4,Hessen,49.634,8.419,13988,Block Mainz K6,300,220,42.1,VOLT_MISMATCH (model 380 vs real Block Mainz K6's 220 kV)
storage,2240,pumped_hydro,38866,110,368.0,Baden-Württemberg,47.688,8.252,0,Witznau,220,220,7.8,AGGREGATION (1.7x nearest real); VOLT_MISMATCH (model 110 vs real 220); OVERSIZED (368 MW > 250 MW threshold for 110 kV)
generator,21,import_AT,34194,110,363.0,,47.638,12.202,0,,,,,OVERSIZED (363 MW > 250 MW threshold for 110 kV)
generator,8470,oil,26157,110,347.7,Hessen,50.161,8.737,0,Ingolstadt 4,446,220,252.4,GHOST_CONV (>252 km from any real oil plant); VOLT_MISMATCH (model 110 vs real Ingolstadt 4's 220 kV); OVERSIZED (348 MW > 250 MW threshold for 110 kV)
generator,2654,gas_chp,6441,110,334.8,Nordrhein-Westfalen,51.68,7.097,0,Lausward (DUS),600,380,55.9,GHOST_CONV (>56 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Lausward (DUS)'s 380 kV); OVERSIZED (335 MW > 250 MW threshold for 110 kV)
generator,13158,gas_chp,36206,110,328.0,Berlin,52.511,13.419,0,Kiel-Ost CHP,191,110,307.7,GHOST_CONV (>308 km from any real gas plant); OVERSIZED (328 MW > 250 MW threshold for 110 kV)
generator,17223,gas_ccgt,39319,380,327.8,Niedersachsen,52.169,10.252,10741,Hamm-Uentrop,860,380,170.8,GHOST_CONV (>171 km from any real gas plant)
generator,17219,gas_chp,39306,110,323.0,Nordrhein-Westfalen,51.675,7.707,3900,Hamm-Uentrop,860,380,18.3,VOLT_MISMATCH (model 110 vs real Hamm-Uentrop's 380 kV); OVERSIZED (323 MW > 250 MW threshold for 110 kV)
generator,17116,gas_ccgt,39152,380,321.0,Niedersachsen,53.237,8.403,8751,Emsland-D,863,380,114.9,GHOST_CONV (>115 km from any real gas plant)
generator,17319,gas_ccgt,39429,380,310.0,Bayern,48.418,10.25,0,Irsching 4/5,1410,380,113.5,GHOST_CONV (>113 km from any real gas plant)
generator,3102,oil,8404,380,306.5,Baden-Württemberg,48.923,9.237,7350,Ingolstadt 4,446,220,161.2,GHOST_CONV (>161 km from any real oil plant); VOLT_MISMATCH (model 380 vs real Ingolstadt 4's 220 kV)
generator,8320,gas_chp,25946,110,300.0,Niedersachsen,52.442,10.762,0,Kiel-Ost CHP,191,110,214.6,GHOST_CONV (>215 km from any real gas plant); OVERSIZED (300 MW > 250 MW threshold for 110 kV)
generator,28,import_CH,24323,110,291.4,,47.65,9.153,0,,,,,OVERSIZED (291 MW > 250 MW threshold for 110 kV)
generator,12656,coal,35846,110,272.0,Niedersachsen,52.421,9.65,2240,Mehrum,690,380,36.2,VOLT_MISMATCH (model 110 vs real Mehrum's 380 kV); OVERSIZED (272 MW > 250 MW threshold for 110 kV)
generator,26,import_CH,15961,110,270.6,,47.567,7.826,0,,,,,OVERSIZED (271 MW > 250 MW threshold for 110 kV)
generator,17416,gas_chp,39527,110,267.5,Hessen,50.842,9.978,520,Block Mainz K6,300,220,151.1,GHOST_CONV (>151 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Block Mainz K6's 220 kV); OVERSIZED (268 MW > 250 MW threshold for 110 kV)
generator,16393,gas_chp,38489,110,260.0,Sachsen,51.043,13.709,1320,Irsching 4/5,1410,380,282.5,GHOST_CONV (>282 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Irsching 4/5's 380 kV); OVERSIZED (260 MW > 250 MW threshold for 110 kV)
generator,638,coal,1019,110,253.0,Schleswig-Holstein,53.572,9.731,0,Wedel,273,110,2.1,OVERSIZED (253 MW > 250 MW threshold for 110 kV)
generator,11033,coal,33216,110,250.0,Baden-Württemberg,49.197,9.216,800,Heilbronn,860,220,4.4,VOLT_MISMATCH (model 110 vs real Heilbronn's 220 kV)
generator,9523,gas_chp,29017,110,241.9,Thüringen,50.897,11.585,0,Irsching 4/5,1410,380,227.8,GHOST_CONV (>228 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Irsching 4/5's 380 kV)
generator,15528,gas_ccgt,37836,380,239.0,Baden-Württemberg,49.009,8.313,0,Block Mainz K6,300,220,110.6,GHOST_CONV (>111 km from any real gas plant); VOLT_MISMATCH (model 380 vs real Block Mainz K6's 220 kV)
generator,8907,gas_chp,27338,110,236.4,Schleswig-Holstein,54.804,9.433,560,Kiel-Ost CHP,191,110,73.0,GHOST_CONV (>73 km from any real gas plant)
generator,13690,gas_chp,36530,110,234.5,Niedersachsen,52.477,7.308,0,Emsland-D,863,380,0.8,VOLT_MISMATCH (model 110 vs real Emsland-D's 380 kV)
generator,7302,gas_chp,24548,110,233.9,Bayern,48.201,12.84,1080,Irsching 4/5,1410,380,108.1,GHOST_CONV (>108 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Irsching 4/5's 380 kV)
generator,16763,oil,38786,110,232.9,Brandenburg,53.093,14.231,1120,Ingolstadt 4,446,220,523.5,GHOST_CONV (>523 km from any real oil plant); VOLT_MISMATCH (model 110 vs real Ingolstadt 4's 220 kV)
generator,16774,gas_chp,38793,110,230.0,Niedersachsen,52.373,9.736,560,Hamm-Uentrop,860,380,146.8,GHOST_CONV (>147 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Hamm-Uentrop's 380 kV)
generator,18651,gas_chp,40313,110,220.7,Bayern,49.449,11.062,560,Irsching 4/5,1410,380,80.9,GHOST_CONV (>81 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Irsching 4/5's 380 kV)
storage,846,pumped_hydro,17970,380,200.0,Niedersachsen,51.956,9.992,3580,Erzhausen,220,220,5.6,VOLT_MISMATCH (model 380 vs real 220)
generator,8316,gas_chp,25945,110,197.2,Niedersachsen,52.442,10.791,0,Kiel-Ost CHP,191,110,215.2,GHOST_CONV (>215 km from any real gas plant)
generator,12594,gas_chp,35792,110,189.5,Berlin,52.525,13.522,0,Kiel-Ost CHP,191,110,312.3,GHOST_CONV (>312 km from any real gas plant)
generator,17163,gas_chp,39210,110,186.8,Brandenburg,52.232,13.304,2600,Kiel-Ost CHP,191,110,323.3,GHOST_CONV (>323 km from any real gas plant)
generator,1432,gas_chp,2633,110,185.4,Nordrhein-Westfalen,51.387,6.726,1040,Lausward (DUS),600,380,16.9,VOLT_MISMATCH (model 110 vs real Lausward (DUS)'s 380 kV)
generator,11847,gas_chp,35239,110,185.0,Berlin,52.424,13.31,1400,Kiel-Ost CHP,191,110,308.6,GHOST_CONV (>309 km from any real gas plant)
generator,18586,oil,40286,110,184.9,Hessen,49.998,8.438,0,Ingolstadt 4,446,220,258.8,GHOST_CONV (>259 km from any real oil plant); VOLT_MISMATCH (model 110 vs real Ingolstadt 4's 220 kV)
generator,12715,gas_chp,35888,110,183.0,Baden-Württemberg,48.719,9.371,2620,Block Mainz K6,300,220,161.7,GHOST_CONV (>162 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Block Mainz K6's 220 kV)
generator,18144,gas_chp,40101,110,181.0,Sachsen,51.351,12.378,0,Irsching 4/5,1410,380,282.2,GHOST_CONV (>282 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Irsching 4/5's 380 kV)
generator,18255,gas_chp,40159,110,179.5,Saarland,49.224,7.016,0,Block Mainz K6,300,220,125.9,GHOST_CONV (>126 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Block Mainz K6's 220 kV)
generator,17406,gas_chp,39513,110,176.7,Brandenburg,52.168,14.612,1120,Kiel-Ost CHP,191,110,397.6,GHOST_CONV (>398 km from any real gas plant)
generator,13716,gas_chp,36551,110,176.0,Brandenburg,52.388,12.394,0,Kiel-Ost CHP,191,110,268.4,GHOST_CONV (>268 km from any real gas plant)
generator,17340,gas_chp,39461,110,172.9,Sachsen-Anhalt,51.459,11.996,0,Hamm-Uentrop,860,380,287.4,GHOST_CONV (>287 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Hamm-Uentrop's 380 kV)
generator,17393,gas_chp,39505,110,166.5,Niedersachsen,52.277,10.515,840,Hamm-Uentrop,860,380,192.4,GHOST_CONV (>192 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Hamm-Uentrop's 380 kV)
generator,18195,gas_chp,40121,110,164.0,Berlin,52.489,13.494,0,Kiel-Ost CHP,191,110,313.4,GHOST_CONV (>313 km from any real gas plant)
generator,17143,gas_ccgt,39181,380,161.9,Niedersachsen,53.633,9.49,0,Kiel-Ost CHP,191,110,91.4,GHOST_CONV (>91 km from any real gas plant); VOLT_MISMATCH (model 380 vs real Kiel-Ost CHP's 110 kV)
generator,17901,gas_chp,40001,110,155.2,Hessen,50.099,8.595,0,Block Mainz K6,300,220,23.3,VOLT_MISMATCH (model 110 vs real Block Mainz K6's 220 kV)
generator,15088,gas_chp,37522,110,153.4,Sachsen-Anhalt,51.803,11.753,0,Hamm-Uentrop,860,380,269.3,GHOST_CONV (>269 km from any real gas plant); VOLT_MISMATCH (model 110 vs real Hamm-Uentrop's 380 kV)
generator,17363,gas_chp,39482,110,153.1,Brandenburg,52.59,13.558,0,Kiel-Ost CHP,191,110,309.7,GHOST_CONV (>310 km from any real gas plant)
storage,1731,pumped_hydro,36017,110,145.0,Hessen,51.166,9.05,1840,Waldeck I+II,480,380,3.6,VOLT_MISMATCH (model 110 vs real 380)
storage,796,pumped_hydro,16286,110,88.0,Baden-Württemberg,47.619,8.191,0,Witznau,220,220,14.4,VOLT_MISMATCH (model 110 vs real 220)
storage,2276,pumped_hydro,39193,110,60.0,Baden-Württemberg,47.755,8.188,780,Witznau,220,220,1.0,VOLT_MISMATCH (model 110 vs real 220)
storage,1110,pumped_hydro,25633,110,12.0,Bayern,47.551,9.726,0,Glems,90,110,109.0,GHOST (>109 km from any real pumped-hydro plant)
storage,2297,pumped_hydro,39391,110,6.8,Bayern,48.848,12.981,0,Reisach-Tanzmühle,105,110,91.9,GHOST (>92 km from any real pumped-hydro plant)
storage,2400,battery,40071,110,0.4,Bayern,48.128,11.563,560,,,,,EVAC_DEFICIT (bus capacity 560 MVA < gen+stor 629 MW)
