egon_line_id,eic_code,jao_name,jao_length_km,path_hops,length_ratio,egon_trafo_id
23048.0,11TD8L208------9,Eula - Weida 208,67.55,3.0,0.986,
5818.0,11TD8L208------9,Eula - Weida 208,67.55,3.0,0.986,
6250.0,11TD8L208------9,Eula - Weida 208,67.55,3.0,0.986,
4778.0,11TD8L275------7,Bentwisch - Güstrow 275,41.418,3.0,1.003,
15243.0,11TD8L317-276--N,Lüdershagen - Güstrow 317-276,106.538,4.0,0.998,
4777.0,11TD8L275------7,Bentwisch - Güstrow 275,41.418,3.0,1.003,
6405.0,11TD8L317-276--N,Lüdershagen - Güstrow 317-276,106.538,4.0,0.998,
49.0,11TD8L275------7,Bentwisch - Güstrow 275,41.418,3.0,1.003,
13000.0,11TD8L317-276--N,Lüdershagen - Güstrow 317-276,106.538,4.0,0.998,
3510.0,11TD8L291------L,Wuhlheide - Thyrow 291,38.882,2.0,0.955,
11499.0,11TD8L302------A,Wuhlheide (Abzweig) - Thyrow 302/2,38.882,2.0,0.955,
33222.0,11TD8L291------L,Wuhlheide - Thyrow 291,38.882,2.0,0.955,
3547.0,11TD8L295------Q,Hennigsdorf - Wustermark 295,27.4,3.0,1.003,
33232.0,11TD8L295------Q,Hennigsdorf - Wustermark 295,27.4,3.0,1.003,
3543.0,11TD8L295------Q,Hennigsdorf - Wustermark 295,27.4,3.0,1.003,
3605.0,11TD8L301------I,Marzahn - Wuhlheide 301,9.111,2.0,0.98,
11600.0,11TD8L302------A,Marzahn - Wuhlheide(Abzweig) 302/1,9.111,2.0,0.98,
11602.0,11TD8L301------I,Marzahn - Wuhlheide 301,9.111,2.0,0.98,
4190.0,11TD8L306------F,Vierraden - Pasewalk 306,61.885,4.0,1.003,
14407.0,11TD8L305------N,Bertikow - Pasewalk 305,29.471,1.0,0.99,
2986.0,11TD8L306------F,Vierraden - Pasewalk 306,61.885,4.0,1.003,
4192.0,11TD8L306------F,Vierraden - Pasewalk 306,61.885,4.0,1.003,
4191.0,11TD8L306------F,Vierraden - Pasewalk 306,61.885,4.0,1.003,
23183.0,11TD8L313------U,Lubmin - Lüdershagen 313,56.212,2.0,1.007,
23184.0,11TD8L314------M,Lubmin - Lüdershagen 314,56.212,2.0,1.007,
4660.0,11TD8L313------U,Lubmin - Lüdershagen 313,56.212,2.0,1.007,
14977.0,11TD8L314------M,Lubmin - Lüdershagen 314,56.212,2.0,1.007,
12998.0,11TD8L315------E,Pasewalk - Güstrow 315,151.143,2.0,0.993,
30187.0,11TD8L316------6,Pasewalk - Güstrow 316,151.143,2.0,0.993,
33635.0,11TD8L315------E,Pasewalk - Güstrow 315,151.143,2.0,0.993,
5071.0,11TD8L317-276--N,Lüdershagen - Güstrow 317-276,106.538,4.0,0.998,
15244.0,11TD8L318------R,Lüdershagen - Bentwisch 318,65.349,1.0,0.991,
6408.0,11TD8L328------I,Parchim/Süd - Güstrow 328,52.317,3.0,1.003,
33607.0,11TD8L332-322--6,Parchim/Süd - Wolmirstedt 332-322,141.507,2.0,1.099,
33891.0,11TD8L332-322--6,Parchim/Süd - Wolmirstedt 332-322,141.507,2.0,1.099,
33784.0,11TD8L357-----0Y,Eula - Wolkramshausen 357,159.147,2.0,0.995,
23674.0,11TD8L367------R,Vieselbach - Wolkramshausen 367,65.756,2.0,1.008,
24749.0,11TD8L368------J,Vieselbach - Wolkramshausen 368,65.756,2.0,1.008,
33812.0,11TD8L367------R,Vieselbach - Wolkramshausen 367,65.756,2.0,1.008,
3704.0,11TD8L415------4,Vieselbach - Remptendorf - Großschwabhausen 415,77.547,3.0,0.998,
11726.0,11TD8L416------X,Vieselbach - Remptendorf 416,77.547,3.0,0.998,
3705.0,11TD8L415------4,Vieselbach - Remptendorf - Großschwabhausen 415,77.547,3.0,0.998,
11725.0,11TD8L416------X,Vieselbach - Remptendorf 416,77.547,3.0,0.998,
2416.0,11T-D2-D8-00051V,Redwitz - Remptendorf 414,55.969,2.0,0.993,
2439.0,11T-D2-D8-00050X,Redwitz - Remptendorf 413,55.985,2.0,0.993,
10884.0,11TD8L992------H,Hamburg/Ost - Krümmel 992,28.392,2.0,1.001,
10952.0,11TD8L419------9,Krümmel - Görries 419,87.47,2.0,0.988,
33865.0,11TD8L419------9,Krümmel - Görries 419,87.47,2.0,0.988,
12815.0,11TD8L423------B,Görries - Güstrow 423,71.582,2.0,0.989,
13844.0,11TD8L420------Z,Krümmel - Wessin 420,111.421,3.0,0.99,
1115.0,11TD8L423------B,Görries - Güstrow 423,71.582,2.0,0.989,
12814.0,11TD8L424------3,Wessin - Güstrow 424,47.103,1.0,0.995,
16845.0,11TD8L437------7,Wolmirstedt - Förderstedt 437,48.545,2.0,0.993,
17320.0,11TD8L438-----0Y,Wolmirstedt - Förderstedt 438,48.545,2.0,0.993,
6872.0,11TD8L437------7,Wolmirstedt - Förderstedt 437,48.545,2.0,0.993,
16844.0,11TD8L438-----0Y,Wolmirstedt - Förderstedt 438,48.545,2.0,0.993,
3700.0,11T-D2-D8-000302,Mecklar - Vieselbach 449,129.724,2.0,0.978,
11722.0,11TD8L454------D,Eisenach - Vieselbach 454,72.285,1.0,0.989,
7331.0,11TD8L463------C,Altenfeld - Remptendorf 463,50.254,2.0,0.995,
17236.0,11TD8L464------4,Altenfeld - Remptendorf 464,50.254,2.0,0.995,
33767.0,11TD8L467------H,Vieselbach - Altenfeld 467,56.081,1.0,0.977,
33949.0,11TD8L471------J,Lauchstädt - Vieselbach 471,78.069,1.0,0.984,
10012.0,11TD8L475------O,Lubmin - Altentreptow/Nord 475,52.115,1.0,0.995,
19206.0,11T0-0000-0007-7,Lubmin - Altentreptow/Süd 476,68.8,2.0,0.992,
10007.0,11T0-0000-0007-7,Lubmin - Altentreptow/Süd 476,68.8,2.0,0.992,
19205.0,11T0-0000-0008-4,Altentreptow/Nord - Altentreptow/Süd 477,16.767,1.0,0.979,
3849.0,11TD8L479------T,Altentreptow/Süd - Gransee 479,77.008,1.0,0.993,
11909.0,11T0-0000-0010-O,Altentreptow/Süd - Malchow 518,131.262,3.0,0.986,
33987.0,,Stendal/West - Wolmirstedt 487,37.245,1.0,0.998,
32247.0,11T0-0000-0980-P,Stendal/West - Wolmirstedt 488,37.245,1.0,0.998,
31728.0,11TD8L494------E,Wolmirstedt - Wustermark 494,104.103,2.0,1.002,
3434.0,11TD8L493------M,Wolmirstedt - Teufelsbruch 493,124.397,2.0,1.0,
11377.0,11TD8L498------J,Wustermark - Teufelsbruch 498,29.597,2.0,0.996,
31723.0,11TD8L494------E,Wolmirstedt - Wustermark 494,104.103,2.0,1.002,
33177.0,11TD8L496------Z,Neuenhagen - Marzahn 496,16.937,1.0,0.993,
3824.0,11TD8L499------B,Jessen/Nord - Lauchstädt 499,102.157,2.0,0.99,
11873.0,11TD8L500------6,Jessen/Nord - Marke 500,107.37,2.0,0.992,
3664.0,11TD8L499------B,Jessen/Nord - Lauchstädt 499,102.157,2.0,0.99,
11670.0,11TD8L504------B,Marke - Lauchstädt 504,50.873,2.0,0.985,
3663.0,11TD8L500------6,Jessen/Nord - Marke 500,107.37,2.0,0.992,
11668.0,11TD8L504------B,Marke - Lauchstädt 504,50.873,2.0,0.985,
3257.0,11TD8L531------8,Förderstedt - Ragow 531,179.426,5.0,0.993,
11124.0,11T0-0000-0040-C,Ragow - Schönewalde 501,54.003,1.0,0.992,
11120.0,11TD8L531------8,Förderstedt - Ragow 531,179.426,5.0,0.993,
17240.0,11TD8L502-----1N,Ragow - Jessen/Nord 502,61.782,2.0,0.991,
3938.0,11TD8L509------8,Lubmin - Siedenbrünzow 509,56.205,1.0,0.99,
12037.0,11TD8L510------Y,Lubmin - Siedenbrünzow 510,56.205,1.0,0.99,
11174.0,11TD8L512------I,Siedenbrünzow - Güstrow 512,93.611,2.0,0.981,
3891.0,11TD8L514-----1Z,Güstrow - Putlitz/Süd 514,100.3,2.0,0.994,
11957.0,11TD8L512------I,Siedenbrünzow - Güstrow 512,93.611,2.0,0.981,
33128.0,11TD8L514-----1Z,Güstrow - Putlitz/Süd 514,100.3,2.0,0.994,
33383.0,11TD8L516------N,Perleberg - Stendal/West 516,75.543,2.0,0.988,
33384.0,11TD8L516------N,Perleberg - Stendal/West 516,75.543,2.0,0.988,
33226.0,11T0-0000-0010-O,Altentreptow/Süd - Malchow 518,131.262,3.0,0.986,
33333.0,11T0-0000-0010-O,Altentreptow/Süd - Malchow 518,131.262,3.0,0.986,
3831.0,11TD8L521-525--G,Wustermark - Ragow 521-525,130.739,3.0,1.0,
3833.0,11TD8L521-525--G,Wustermark - Ragow 521-525,130.739,3.0,1.0,
11879.0,11TD8L522------9,Thyrow - Ragow 522,61.804,2.0,1.0,
33323.0,11TD8L521-525--G,Wustermark - Ragow 521-525,130.739,3.0,1.0,
31739.0,11TD8L526------E,Wustermark - Thyrow 526,69.44,1.0,0.996,
7033.0,11TD8L531------8,Förderstedt - Ragow 531,179.426,5.0,0.993,
16854.0,11T0-0000-0042-6,Förderstedt - Jessen/Nord 533,117.5,3.0,0.995,
7034.0,11TD8L531------8,Förderstedt - Ragow 531,179.426,5.0,0.993,
16849.0,11T0-0000-0042-6,Förderstedt - Jessen/Nord 533,117.5,3.0,0.995,
3577.0,11TD8L535------D,Lauchstädt - Wolmirstedt 535,155.36,2.0,0.996,
11550.0,11TD8L538------Q,Klostermansfeld - Lauchstädt 538,38.769,1.0,0.983,
3574.0,11TD8L535------D,Lauchstädt - Wolmirstedt 535,155.36,2.0,0.996,
11561.0,11TD8L536------5,Wolmirstedt - Klostermansfeld 536,117.188,1.0,0.995,
8418.0,11TD8L539------I,Ragow - Preilack 539,43.164,1.0,0.99,
17816.0,11TD8L540------7,Ragow - Preilack 540,43.164,1.0,0.99,
3435.0,11TD8L541-----0Y,Graustein - Preilack 541,62.459,1.0,0.984,
11382.0,11TD8L542------S,Graustein - Preilack 542,62.459,1.0,0.984,
6949.0,11TD8L547------P,Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 547-2,7.526,1.0,0.982,
17245.0,11T0000000000023,Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 548-2,7.526,1.0,0.982,
7335.0,11TD8L547------P,Eisenhüttenstadt (Abzweig) - Preilack 547-1,38.476,1.0,0.995,
17232.0,11T0000000000023,Eisenhüttenstadt (Abzweig) - Preilack 548-1,38.476,1.0,0.995,
7536.0,11TD8L547------P,Neuenhagen - Heinersdorf (Abzweig) 547-3,41.722,1.0,0.99,
7342.0,11TD8L547------P,Eisenhüttenstadt (Abzweig) - Heinersdorf (Abzweig) 547-4,45.247,1.0,0.999,
17244.0,11T0000000000023,Eisenhüttenstadt (Abzweig) - Heinersdorf (Abzweig) 548-4,45.247,1.0,0.999,
7601.0,11TD8L551------R,Bärwalde - Schmölln 551,45.911,1.0,0.99,
17466.0,11TD8L552------J,Bärwalde - Schmölln 552,45.911,1.0,0.99,
7434.0,11TD8L553------B,Hagenwerder - Schmölln 553,56.656,1.0,0.993,
17346.0,11TD8L554------3,Hagenwerder - Schmölln 554,56.656,1.0,0.993,
16807.0,11TD8L555------W,Schmölln - Dresden/Süd 555,36.548,1.0,0.972,
18131.0,11TD8L557------G,Bärwalde - Streumen 557,93.783,1.0,0.994,
8230.0,11TD8L559------0,Preilack - Streumen 559,121.222,2.0,0.992,
17590.0,11TD8L560------Q,Preilack - Streumen 560,121.222,2.0,0.992,
8143.0,11TD8L559------0,Preilack - Streumen 559,121.222,2.0,0.992,
18296.0,11TD8L560------Q,Preilack - Streumen 560,121.222,2.0,0.992,
7273.0,11T0-0000-0043-3,Ragow - Streumen 561,88.719,1.0,0.995,
17153.0,11TD8L562------A,Ragow - Streumen 562,88.719,1.0,0.995,
2443.0,11TD8L565------N,Graustein - Bärwalde 565,21.801,1.0,0.982,
11747.0,11TD8L566------F,Graustein - Bärwalde 566,21.801,1.0,0.982,
16074.0,11TD8L571------9,Streumen - Röhrsdorf 571,82.808,2.0,0.999,
5814.0,11TD8L591------S,Dresden/Süd - Röhrsdorf 591,85.368,3.0,0.984,
6533.0,11TD8L594------4,Freiberg/Nord - Röhrsdorf 594,37.587,2.0,0.991,
6532.0,11TD8L573------U,Röhrsdorf - Weida 573,61.654,2.0,0.967,
16730.0,11TD8L574------M,Remptendorf - Röhrsdorf 574,103.396,4.0,0.997,
5822.0,11TD8L574------M,Remptendorf - Röhrsdorf 574,103.396,4.0,0.997,
16092.0,11TD8L575------E,Remptendorf - Weida 575,45.505,2.0,0.954,
16097.0,11TD8L574------M,Remptendorf - Röhrsdorf 574,103.396,4.0,0.997,
7651.0,11TD8L585------5,Streumen - Eula 585,84.359,1.0,0.995,
17485.0,11TD8L586------Y,Streumen - Eula 586,84.359,1.0,0.995,
6903.0,11TD8L587------Q,Eula - Pulgar 587,20.185,1.0,0.985,
17365.0,11TD8L588------I,Eula - Pulgar 588,20.185,1.0,0.985,
33981.0,11TD8L589------A,Pulgar - Vieselbach 589,104.4,1.0,0.994,
6989.0,11TD8L591------S,Dresden/Süd - Röhrsdorf 591,85.368,3.0,0.984,
16812.0,11TD8L592------K,Dresden/Süd - Freiberg/Nord 592,47.765,1.0,0.978,
7399.0,11TD8L591------S,Dresden/Süd - Röhrsdorf 591,85.368,3.0,0.984,
33689.0,11TD8L596------P,Putlitz/Süd - Perleberg - Putlitz 596,34.208,3.0,0.975,
10420.0,11TD8L596------P,Putlitz/Süd - Perleberg - Putlitz 596,34.208,3.0,0.975,
17352.0,11TD8L903------G,Reuter - Mitte 903,10.69,3.0,1.064,
7447.0,11TD8L903------G,Reuter - Mitte 903,10.69,3.0,1.064,
17350.0,11TD8L904------8,Reuter - Charlottenburg 904,5.27,2.0,1.113,
7535.0,11TD8L903------G,Reuter - Mitte 903,10.69,3.0,1.064,
30088.0,11TD8L907------L,Teufelsbruch - Reuter 907,7.55,2.0,1.018,
30087.0,11TD8L907------L,Teufelsbruch - Reuter 907,7.55,2.0,1.018,
7597.0,11TD8L919------X,Friedrichshain - Mitte 919,6.55,1.0,1.006,
6966.0,11TD8L921------E,Friedrichshain - Marzahn 921,5.38,1.0,1.049,
17238.0,11TD8L922------6,Friedrichshain - Marzahn 922,5.35,1.0,1.055,
33196.0,11TD8L951------O,Hamburg/Nord - Brunsbüttel 951,57.098,2.0,0.985,
3483.0,11TD8L951------O,Hamburg/Nord - Brunsbüttel 951,57.098,2.0,0.985,
11441.0,11TD8L952------G,Hamburg/Nord - Brunsbüttel 952,57.098,2.0,0.985,
33255.0,11TD8L961------F,Hamburg/Ost - Hamburg/Nord 961,31.001,2.0,0.991,
3637.0,11TD8L961------F,Hamburg/Ost - Hamburg/Nord 961,31.001,2.0,0.991,
11638.0,11TD8L962------7,Hamburg/Ost - Hamburg/Nord 962,31.001,2.0,0.991,
34110.0,11TD8L971------6,Hamburg/Süd - Hamburg/Ost 971,29.433,1.0,0.982,
33375.0,11TD8L992------H,Hamburg/Ost - Krümmel 992,28.392,2.0,1.001,
7488.0,11T0-0000-0698-C,Y-Leupolz (-Bidingen - Oberottmarshausen) ALLG O,30.65944399258279,1.0,0.996,
32053.0,11T0-0000-0769-G,Y-Oberottmarshausen (-Bidingen - Leupolz) ALLG O ,50.5392586127609,1.0,0.997,
33511.0,11T0-0000-0744-2,Nehden - Uentrop SAUERL N ,115.50787466324708,2.0,0.976,
5426.0,11T0-0000-0724-A,Meitingen - Oberottmarshausen AUGSBU O ,51.76402306991074,3.0,0.978,
7412.0,11T0-0000-0723-D,Lechhausen - Meitingen LECHHA W ,30.9493748308286,3.0,0.987,
7410.0,11T0-0000-0724-A,Meitingen - Oberottmarshausen AUGSBU O ,51.76402306991074,3.0,0.978,
17325.0,11T0-0000-0723-D,Lechhausen - Meitingen LECHHA W ,30.9493748308286,3.0,0.987,
33883.0,11T0-0000-0724-A,Meitingen - Oberottmarshausen AUGSBU O ,51.76402306991074,3.0,0.978,
6915.0,11T0-0000-0694-O,Lechhausen - Oberottmarshausen AUGSBU W ,35.33910704583083,2.0,0.976,
17341.0,11T0-0000-0723-D,Lechhausen - Meitingen LECHHA W ,30.9493748308286,3.0,0.987,
33290.0,11T0-0000-0506-M,St. Barbara - Uchtelfangen BABARA ,20.38636832356388,1.0,0.9,
32913.0,11T0-0000-0307-T,Benteler - Hanekenfaehr BENTLR ,1.2508485048325029,1.0,1.171,
33859.0,11T0-0000-0843-0,Meckenheim - Sechtem BGEIST W ,22.275320149411343,1.0,0.94,
33095.0,11T0-0000-0376-4,Maximiliansau - Mutterstadt BIENWD W ,47.9401794893425,1.0,0.937,
33706.0,11T0-0000-0114-7,Y-Altenkleusheim (-Garenfeld - Opladen) BIGGE W ,52.73624436354184,1.0,0.967,
1834.0,11T0-0000-0274-F,Y-Garenfeld (-Altenkleusheim - Opladen) BIGGE W ,10.049508411261836,1.0,0.963,
5344.0,11T0-0000-0272-L,Bixterheide - Garenfeld BIXTRH N ,22.27493328891095,2.0,0.931,
33703.0,11T0-0000-0420-0,Y-Opladen (-Altenkleusheim - Garenfeld) BIGGE W ,58.21860842824953,2.0,0.96,
33704.0,11T0-0000-0420-0,Y-Opladen (-Altenkleusheim - Garenfeld) BIGGE W ,58.21860842824953,2.0,0.96,
33763.0,11T0-0000-0175-H,Y-Bixterheide (-Altenkleusheim - Opladen) BIGGE O ,12.163105162265255,1.0,0.909,
33138.0,11T0-0000-0740-E,Mittelbexbach - Uchtelfangen BLIES N ,20.305891551757625,1.0,0.96,
33659.0,11T0-0000-0176-E,Bochum - Eiberg BOCHUM W ,12.89045394309713,5.0,0.941,
1497.0,11T0-0000-0176-E,Bochum - Eiberg BOCHUM W ,12.89045394309713,5.0,0.941,
13115.0,11T0-0000-0183-J,Y-Bochum (-Kusenhorst - Poeppinghausen) HOCHLR W ,11.747051581910672,6.0,2.275,
1499.0,11T0-0000-0176-E,Bochum - Eiberg BOCHUM W ,12.89045394309713,5.0,0.941,
13113.0,11T0-0000-0183-J,Y-Bochum (-Kusenhorst - Poeppinghausen) HOCHLR W ,11.747051581910672,6.0,2.275,
2165.0,11T0-0000-0176-E,Bochum - Eiberg BOCHUM W ,12.89045394309713,5.0,0.941,
2166.0,11T0-0000-0176-E,Bochum - Eiberg BOCHUM W ,12.89045394309713,5.0,0.941,
2467.0,11T0-0000-0246-L,Y-Eiberg (-Bergmannsglueck - Gelsenberg) GLADBK W ,14.713820691105711,2.0,0.909,
2254.0,11T0-0000-0194-C,Bocklemuend - Brauweiler BOCKLE N ,4.717661792063552,1.0,0.904,
13538.0,11T0-0000-0195-9,Bocklemuend - Brauweiler BOCKLE S ,4.717661792063552,1.0,0.904,
33545.0,11T0-0000-0537-7,Wehrendorf - Westerkappeln WIEHEN O ,62.234495598898704,3.0,0.617,
19.0,11T-D2-D7-00002F,Hanekenfaehr - Doerpen/W EWBL,73.05039586943188,5.0,1.087,
32.0,11T0-0000-0617-A,Gronau - Hanekenfaehr GRONAU W ,46.60619286408437,3.0,0.99,
33506.0,11T-D2-D7-00002F,Hanekenfaehr - Doerpen/W EWBL,73.05039586943188,5.0,1.087,
33625.0,11T0-0000-0640-J,Hanekenfaehr - Meppen MEPPEN ,47.28218271947467,3.0,0.992,
33509.0,11T0-0000-0641-G,Hanekenfaehr - Wehrendorf NSACHS S ,74.8063943339702,4.0,0.975,
33507.0,11T0-0000-0642-D,Hanekenfaehr - Westerkappeln BRAMGAU ,60.66825269529796,4.0,0.987,
33853.0,11T0-0000-0927-S,Brauweiler - Rommerskirchen BRAUWL W ,9.72081338927504,1.0,0.9,
7493.0,11T0-0000-0831-A,Rommerskirchen - Sechtem VILLE O ,34.14245197095014,2.0,0.959,
2476.0,11T0-0000-0164-O,Bergmannsglueck - Buescherhof BUER S ,17.413510859267358,2.0,0.682,
4456.0,11T0-0000-0169-9,Y-Bergmannsglueck (-Eiberg - Gelsenberg) GLADBK W ,7.953824610043739,2.0,0.981,
34104.0,11T0-0000-0164-O,Bergmannsglueck - Buescherhof BUER S ,17.413510859267358,2.0,0.682,
33141.0,11T0-0000-0568-T,Buerstadt - Lambsheim BUERST W ,16.84127763980028,1.0,0.936,
1060.0,11T0-0000-0576-V,Y-Buescherhof (-Karnap - Rosenblumendelle) BUESHR W ,5.3492599067419935,2.0,0.9,
12736.0,11T0-0000-0763-Y,Buescherhof - Nordlicht ESSEN W ,14.611097828281546,6.0,0.925,
1058.0,11T0-0000-0576-V,Y-Buescherhof (-Karnap - Rosenblumendelle) BUESHR W ,5.3492599067419935,2.0,0.9,
33982.0,11T0-0000-0657-V,Y-Karnap (-Buescherhof - Rosenblumendelle) BUESHR W ,0.8904431046356157,1.0,1.054,
33575.0,11T0-0000-0838-Q,Y-Rosenblumendelle (-Buescherhof - Karnap) BUESHR W ,11.13984284039736,1.0,0.974,
31746.0,11T0-0000-0928-P,Brauweiler - Knapsack BURBAC O ,12.674139985555165,1.0,1.008,
33561.0,11T0-0000-0280-N,Y-Gersteinwerk (-Poeppingshausen - Ruhrzink) CAPPEN N ,29.968020578313773,3.0,0.989,
31759.0,11T0-0000-0280-N,Y-Gersteinwerk (-Poeppingshausen - Ruhrzink) CAPPEN N ,29.968020578313773,3.0,0.989,
