Line,v_nom,length,s_nom,maxload,state,zone,score
32141,380.0,113.2493266415234,1179.5,0.7656914,Baden-Württemberg,TSO:TransnetBW,430.01609621326355
32029,380.0,93.02226419835289,1450.6,0.7621386,Bayern,TSO:TenneT,352.2209723406251
8620,380.0,82.72442844720752,1721.8,0.76614845,Bayern,TSO:TenneT,314.2242200679784
18035,380.0,82.72442844720752,1721.8,0.7591027,Bayern,TSO:TenneT,312.4756541727987
32006,380.0,112.90099381374596,1790.2,0.42009842,Bayern,TSO:TenneT,311.6400794138993
17674,220.0,110.39513666716132,839.8,0.8903838,Bayern,TSO:TenneT,306.98320166625564
16074,380.0,82.37801810205241,1648.1,0.69334644,Sachsen,TSO:50Hertz,294.91655883510776
5371,380.0,78.83599355242404,1790.2,0.73970574,Niedersachsen,TSO:TenneT,293.2003156060123
15610,380.0,78.83599355242404,1790.2,0.73970574,Niedersachsen,TSO:TenneT,293.2003156060123
11561,380.0,116.54707269946626,1658.6,0.3293148,Sachsen-Anhalt,TSO:50Hertz,289.96264662066534
3574,380.0,116.54707269946626,1658.6,0.32526347,Sachsen-Anhalt,TSO:50Hertz,288.54613546683936
17499,380.0,98.96908821349108,1658.6,0.4702044,Sachsen,TSO:50Hertz,288.0607383872896
7657,380.0,98.96908821349108,1658.6,0.4702044,Sachsen,TSO:50Hertz,288.0607383872896
11654,380.0,119.99523026863369,1688.2,0.2961388,Baden-Württemberg,TSO:TransnetBW,286.5985627298888
3700,380.0,71.51970474951163,1808.7,0.8221413,Thüringen,TSO:50Hertz,283.6774640318074
11645,380.0,119.99523026863369,2023.0,0.24311164,Baden-Württemberg,TSO:TransnetBW,267.5095464202646
3628,380.0,119.99523026863369,2078.5,0.24136654,Baden-Württemberg,TSO:TransnetBW,266.88133366700356
32062,380.0,71.48398160304944,1450.6,0.7245341,Bayern,TSO:TenneT,262.60370523262804
17461,380.0,72.60312613015807,2369.4,0.6606737,Sachsen-Anhalt,TSO:50Hertz,252.80559931977217
7590,380.0,72.60312613015807,2369.4,0.6606737,Sachsen-Anhalt,TSO:50Hertz,252.80559931977217
17403,380.0,85.79056856861622,1641.5,0.4779712,Niedersachsen,TSO:TenneT,251.70211489065153
16854,380.0,105.28573487487836,1658.6,0.2956271,Sachsen-Anhalt,TSO:50Hertz,251.3045571487615
7033,380.0,105.28573487487836,1658.6,0.2941516,Sachsen-Anhalt,TSO:50Hertz,250.83850574306447
8012,380.0,75.5952927890731,1579.6,0.6036392,Bayern,TSO:TenneT,250.28976855042015
7505,380.0,85.79056856861622,1721.8,0.45567992,Niedersachsen,TSO:TenneT,245.9649642972451
33170,380.0,77.1928351926526,1790.2,0.55997175,Thüringen,TSO:50Hertz,245.46668757265334
17153,380.0,88.29696914128641,1342.7,0.3878117,Brandenburg,TSO:50Hertz,235.17323644194857
7273,380.0,88.29696914128641,1342.7,0.3878117,Brandenburg,TSO:50Hertz,235.17323644194857
33132,220.0,82.85136923612299,491.6,0.9023766,Mecklenburg-Vorpommern,TSO:50Hertz,232.37765156682016
18131,380.0,93.26629319357131,1658.6,0.33023813,Sachsen,TSO:50Hertz,232.2996912470847
15059,380.0,84.07028467000073,2145.0,0.41201615,Baden-Württemberg,TSO:TransnetBW,230.02037290368156
33135,380.0,43.11120840118123,1808.7,1.272192,Thüringen,TSO:50Hertz,229.20401609038427
18229,380.0,75.5952927890731,1790.2,0.50535196,Bayern,TSO:TenneT,227.99964098375528
33177,380.0,49.822806224971366,2073.3,1.0165453,Bayern,TSO:TenneT,226.67562719945064
32216,220.0,92.76722324982256,839.8,0.7216016,Bayern,TSO:TenneT,226.6491777038138
7453,380.0,62.8895663010533,1579.6,0.6871621,Bayern,TSO:TenneT,223.98034027905067
16730,380.0,59.28710811170351,1648.1,0.72957647,Sachsen,TSO:50Hertz,218.6940990529556
7261,380.0,61.456660584554704,1579.6,0.6846221,Bayern,TSO:TenneT,218.40874562026727
32193,220.0,112.6015674719666,491.6,0.46166635,Bayern,TSO:TenneT,216.57027579836569
31728,380.0,99.6107863747506,1579.6,0.21893434,Brandenburg,TSO:50Hertz,214.84085000748
6532,380.0,59.28710811170351,1648.1,0.7005691,Sachsen,TSO:50Hertz,213.5348194785868
17485,380.0,83.90259210438168,1658.6,0.3434767,Sachsen,TSO:50Hertz,212.30964772657106
33113,380.0,59.74689532097423,2182.4,0.6569785,Nordrhein-Westfalen,TSO:Amprion,207.37761782780916
32050,220.0,62.77604485882876,416.9,1.10613,Bayern,TSO:TenneT,201.6529783515328
30819,380.0,42.00418883401613,1579.6,1.0985712,Bayern,TSO:TenneT,201.44005729148432
5524,380.0,55.26167565192953,1458.5,0.705562,Niedersachsen,TSO:TenneT,199.864127921884
15676,380.0,76.2796824412799,1688.2,0.34778494,Baden-Württemberg,TSO:TransnetBW,194.00629718770156
7147,380.0,60.93646930753514,1179.5,0.54950655,Baden-Württemberg,TSO:TransnetBW,191.85967011456705
32120,220.0,112.50918102512823,491.6,0.34354398,Baden-Württemberg,TSO:TransnetBW,189.81289062566074
5421,380.0,76.2796824412799,2078.5,0.283745,Baden-Württemberg,TSO:TransnetBW,179.35145704537393
1619,380.0,57.676552552222375,1790.2,0.5123358,Nordrhein-Westfalen,TSO:Amprion,175.16411297682416
13166,380.0,57.676552552222375,1790.2,0.5123358,Nordrhein-Westfalen,TSO:Amprion,175.16411297682416
1571,380.0,59.91976630954542,1919.1,0.4416043,Nordrhein-Westfalen,TSO:Amprion,169.26212104001843
13169,380.0,59.91976630954542,1919.1,0.4416043,Nordrhein-Westfalen,TSO:Amprion,169.26212104001843
32921,380.0,75.42221370543191,1777.1,0.23985201,Baden-Württemberg,TSO:TransnetBW,167.4038294982121
30767,380.0,53.62610060519102,1790.2,0.4782347,Baden-Württemberg,TSO:TransnetBW,157.3767386498323
17410,380.0,42.72329042288744,1450.6,0.7136756,Hessen,TSO:Amprion,155.55664774297992
7528,380.0,42.72329042288744,1450.6,0.7136756,Hessen,TSO:Amprion,155.55664774297992
15210,380.0,45.1438378484003,2057.5,0.6415646,Nordrhein-Westfalen,TSO:Amprion,154.6038226196424
5048,380.0,45.1438378484003,2057.5,0.6415646,Nordrhein-Westfalen,TSO:Amprion,154.6038226196424
31720,380.0,46.95676928794315,1974.5,0.5958831,Baden-Württemberg,TSO:TransnetBW,154.37739405058207
32033,380.0,46.858730529136494,1789.6,0.57664293,Baden-Württemberg,TSO:TransnetBW,151.35037124926876
31968,220.0,80.11175963026648,491.6,0.43691328,Baden-Württemberg,TSO:TransnetBW,150.115538457536
32169,380.0,45.05045944855427,2078.5,0.57659346,Baden-Württemberg,TSO:TransnetBW,145.50308179915933
32047,380.0,55.3761852473182,2078.5,0.34037656,Baden-Württemberg,TSO:TransnetBW,139.61054351432892
5367,380.0,50.57907447315211,2145.0,0.40511113,Hessen,TSO:Amprion,137.33905036712778
31387,380.0,62.74639809100484,1790.2,0.22075616,Baden-Württemberg,TSO:TransnetBW,135.6745612980173
7664,380.0,37.38680784172518,1450.6,0.7046603,Hessen,TSO:Amprion,135.11520905268787
17508,380.0,37.38680784172518,1450.6,0.7046603,Hessen,TSO:Amprion,135.11520905268787
7091,220.0,72.17405395482568,839.8,0.42864978,Baden-Württemberg,TSO:TransnetBW,134.04883910616743
7205,380.0,42.21662015965877,1974.5,0.51791716,Baden-Württemberg,TSO:TransnetBW,128.9190658143538
31815,220.0,59.66586376662376,495.4,0.56951493,Nordrhein-Westfalen,TSO:Amprion,127.62707136185088
31640,220.0,77.03702348728848,491.6,0.2852182,Hessen,TSO:Amprion,120.98175181487528
6280,220.0,76.97743889826458,491.6,0.27923894,Baden-Württemberg,TSO:TransnetBW,119.96763567196203
7404,380.0,29.53050493793761,2182.4,0.8407631,Hessen,TSO:Amprion,118.78023333036514
15620,380.0,41.34318503825072,2145.0,0.41822377,Rheinland-Pfalz,TSO:Amprion,113.88688180308786
15618,380.0,41.34318503825072,2145.0,0.4146538,Rheinland-Pfalz,TSO:Amprion,113.44410117881486
16887,380.0,41.991597225668194,1790.2,0.36289236,Nordrhein-Westfalen,TSO:Amprion,108.70268898142346
16888,380.0,41.991597225668194,1790.2,0.36289236,Nordrhein-Westfalen,TSO:Amprion,108.70268898142346
20558,380.0,37.01080590711724,1790.2,0.47259864,Hessen,TSO:Amprion,107.98998201509245
10143,110.0,35.8953908379003,280.0,1.6408995,Brandenburg,DSO:E.DIS,76.84842997592834
14444,110.0,58.73583622881348,260.0,0.414784,Bayern,DSO:Bayernwerk,53.730604044256545
14908,110.0,58.73583622881348,260.0,0.414784,Bayern,DSO:Bayernwerk,53.730604044256545
27066,110.0,64.12345501058648,520.0,0.15494631,Bayern,DSO:Bayernwerk,41.99742134716547
17557,110.0,42.26409362038835,260.0,0.38360316,Bayern,DSO:Bayernwerk,37.34468649209611
32300,110.0,53.60850304554659,520.0,0.17986302,Bayern,DSO:Bayernwerk,36.446439618744904
20854,110.0,29.46487880748978,260.0,0.6731198,Bayern,DSO:Bayernwerk,34.56583224459354
22667,110.0,19.078342683462406,520.0,1.2626423,Bayern,DSO:Bayernwerk,33.628293147931544
29068,110.0,28.994639872480324,280.0,0.61583036,Brandenburg,DSO:E.DIS,32.353101228635566
24570,110.0,23.551298057723713,780.0,0.82020766,Bayern,DSO:Bayernwerk,31.092602587350015
28784,110.0,26.586526507427468,280.0,0.62157387,Brandenburg,DSO:E.DIS,29.81875488753878
31394,110.0,42.2877555964417,260.0,0.18072034,Bayern,DSO:Bayernwerk,28.786134914319355
4135,110.0,22.654520382208744,260.0,0.7414157,Brandenburg,DSO:E.DIS,28.123678163317003
14284,110.0,22.654520382208744,260.0,0.7414157,Brandenburg,DSO:E.DIS,28.123678163317003
6375,110.0,38.21552002046739,260.0,0.23327455,Rheinland-Pfalz,DSO:Westnetz,28.02246935611463
16558,110.0,38.21552002046739,260.0,0.23327455,Rheinland-Pfalz,DSO:Westnetz,28.02246935611463
7549,110.0,37.616361339068256,260.0,0.24480905,Bayern,DSO:Bayernwerk,28.017005656998073
25692,110.0,20.315467962832777,260.0,0.8559908,Bayern,DSO:Bayernwerk,27.547589416407995
33077,110.0,14.4992509173753,280.0,1.3651736,Bayern,DSO:Bayernwerk,27.043619715684244
19712,110.0,47.92042344549123,260.0,0.049554154,Sachsen-Anhalt,DSO:Avacon,26.334868493245317
25448,110.0,36.48408695848938,520.0,0.2213066,Sachsen,DSO:MITNETZ,26.316213521816582
27035,110.0,35.51130824974514,520.0,0.23668444,Bayern,DSO:Bayernwerk,26.16062828725818
17975,110.0,21.31525856169614,260.0,0.708142,Bayern,DSO:Bayernwerk,25.751860007896727
18056,110.0,21.31525856169614,260.0,0.708142,Bayern,DSO:Bayernwerk,25.751860007896727
29886,110.0,25.523203232687326,260.0,0.47795546,Bayern,DSO:Bayernwerk,24.960555972093168
13087,110.0,25.209194021000364,260.0,0.48069054,Nordrhein-Westfalen,DSO:Westnetz,24.722418069266222
1479,110.0,25.209194021000364,260.0,0.48069054,Nordrhein-Westfalen,DSO:Westnetz,24.722418069266222
21135,110.0,29.847911863592486,520.0,0.32599255,Baden-Württemberg,DSO:NetzeBW,24.654153854033726
21997,110.0,24.23246376310162,260.0,0.48199728,Bayern,DSO:Bayernwerk,23.79621281269649
25598,110.0,23.492488603345723,520.0,0.5078418,Bayern,DSO:Bayernwerk,23.676712599186903
14185,110.0,29.81431345390453,260.0,0.29404396,Brandenburg,DSO:E.DIS,23.673875465569356
3116,110.0,29.81431345390453,260.0,0.29404396,Brandenburg,DSO:E.DIS,23.673875465569356
14804,110.0,24.730410134978033,260.0,0.43233454,Brandenburg,DSO:E.DIS,23.057015613454784
14085,110.0,24.730410134978033,260.0,0.43233454,Brandenburg,DSO:E.DIS,23.057015613454784
26207,110.0,20.38916194371804,260.0,0.6240021,Bayern,DSO:Bayernwerk,22.91746082234787
8308,110.0,25.033362038509047,260.0,0.406086,Mecklenburg-Vorpommern,DSO:E.DIS,22.68237807539696
17681,110.0,25.033362038509047,260.0,0.406086,Mecklenburg-Vorpommern,DSO:E.DIS,22.68237807539696
25628,110.0,30.959705805925587,520.0,0.21339503,Bayern,DSO:Bayernwerk,22.086499308065036
17454,110.0,26.18610632951318,260.0,0.3282741,Brandenburg,DSO:E.DIS,21.689274459669786
7580,110.0,26.18610632951318,260.0,0.3282741,Brandenburg,DSO:E.DIS,21.689274459669786
18753,110.0,29.750766758683078,260.0,0.20364624,Niedersachsen,DSO:Avacon,20.934015244768528
9381,110.0,29.750766758683078,260.0,0.20364624,Niedersachsen,DSO:Avacon,20.934015244768528
25767,110.0,24.07374892102128,520.0,0.36552706,Hessen,DSO:Syna,20.836480496198263
32709,110.0,31.1618319450587,520.0,0.16838181,Sachsen-Anhalt,DSO:Avacon,20.828001644221725
8702,110.0,15.252385223752231,260.0,0.8540214,Brandenburg,DSO:E.DIS,20.652054633587248
18140,110.0,15.252385223752231,260.0,0.8540214,Brandenburg,DSO:E.DIS,20.652054633587248
5631,110.0,22.697050704955927,260.0,0.40479138,Niedersachsen,DSO:Avacon,20.536095264860773
15907,110.0,22.697050704955927,260.0,0.40479138,Niedersachsen,DSO:Avacon,20.536095264860773
16823,110.0,33.18353756586704,260.0,0.11302182,Mecklenburg-Vorpommern,DSO:E.DIS,20.34223360761579
6999,110.0,33.18353756586704,260.0,0.11302182,Mecklenburg-Vorpommern,DSO:E.DIS,20.34223360761579
27137,110.0,29.511807736356282,520.0,0.18907633,Sachsen,DSO:MITNETZ,20.33588741218617
21372,110.0,25.21782716357709,520.0,0.30480376,Hessen,DSO:Syna,20.29540133996962
10909,110.0,16.85976146924181,260.0,0.6839747,Brandenburg,DSO:E.DIS,19.96153175072226
19932,110.0,16.85976146924181,260.0,0.6839747,Brandenburg,DSO:E.DIS,19.96153175072226
6492,110.0,19.753419403555778,260.0,0.5046425,Niedersachsen,DSO:Avacon,19.84512438789312
16690,110.0,19.753419403555778,260.0,0.5046425,Niedersachsen,DSO:Avacon,19.84512438789312
11380,110.0,27.530740814930105,260.0,0.21937992,Brandenburg,DSO:E.DIS,19.80506162629294
32638,110.0,30.88346620121144,520.0,0.14064854,Baden-Württemberg,DSO:NetzeBW,19.78544765037386
17921,110.0,18.6955355365795,260.0,0.553722,Schleswig-Holstein,DSO:SH-Netz,19.699897544694092
8522,110.0,18.6955355365795,260.0,0.553722,Schleswig-Holstein,DSO:SH-Netz,19.699897544694092
9810,110.0,25.79476444508789,260.0,0.26042464,Niedersachsen,DSO:Avacon,19.61497379515516
19000,110.0,25.79476444508789,260.0,0.26042464,Niedersachsen,DSO:Avacon,19.61497379515516
27282,110.0,23.74869938511209,260.0,0.31360564,Baden-Württemberg,DSO:NetzeBW,19.32207638367156
10753,110.0,19.433965983307314,260.0,0.49293464,Baden-Württemberg,DSO:NetzeBW,19.296658099462743
25802,110.0,12.969756744313807,520.0,0.9675959,Nordrhein-Westfalen,DSO:Westnetz,19.034360728064453
11743,110.0,23.637876700617834,260.0,0.29973197,Sachsen-Anhalt,DSO:Avacon,18.903965696463516
3724,110.0,23.637876700617834,260.0,0.29973197,Sachsen-Anhalt,DSO:Avacon,18.903965696463516
3388,110.0,28.70949252992348,260.0,0.14780891,Baden-Württemberg,DSO:NetzeBW,18.598265045702234
11318,110.0,28.70949252992348,260.0,0.14780891,Baden-Württemberg,DSO:NetzeBW,18.598265045702234
18924,110.0,25.33049839625684,260.0,0.22533646,Sachsen,DSO:MITNETZ,18.37313333909794
9675,110.0,25.33049839625684,260.0,0.22533646,Sachsen,DSO:MITNETZ,18.37313333909794
32045,110.0,18.386854425229053,260.0,0.49482182,Rheinland-Pfalz,DSO:Westnetz,18.29164337441787
24882,110.0,25.283376345675382,520.0,0.22232087,Sachsen-Anhalt,DSO:Avacon,18.26271001079598
3801,110.0,22.557491056739106,260.0,0.30712324,Niedersachsen,DSO:Avacon,18.206675353902053
11834,110.0,22.557491056739106,260.0,0.30712324,Niedersachsen,DSO:Avacon,18.206675353902053
27958,110.0,28.218350296468785,520.0,0.14277954,Schleswig-Holstein,DSO:SH-Netz,18.13817791539338
19960,110.0,26.550873176348304,260.0,0.17994653,Sachsen-Anhalt,DSO:Avacon,18.053174397661845
32478,110.0,27.07774794967102,520.0,0.1618427,Baden-Württemberg,DSO:NetzeBW,17.921209916347095
10896,110.0,27.48439325858967,260.0,0.15074973,Hessen,DSO:Syna,17.88546184911962
19917,110.0,27.48439325858967,260.0,0.15074973,Hessen,DSO:Syna,17.88546184911962
12052,110.0,23.89132414391277,260.0,0.2485598,Sachsen-Anhalt,DSO:Avacon,17.88408560111311
15225,110.0,28.535110924154274,260.0,0.123427056,Niedersachsen,DSO:Avacon,17.789559551881045
26004,110.0,20.510168479914032,520.0,0.3651842,Baden-Württemberg,DSO:NetzeBW,17.74507345976302
15773,110.0,19.804973231071372,260.0,0.39456946,Hessen,DSO:Syna,17.71692414084751
30252,110.0,23.52071403249686,260.0,0.25248227,Sachsen-Anhalt,DSO:Avacon,17.69892087606612
22082,110.0,23.430974594574213,520.0,0.25023958,Sachsen,DSO:MITNETZ,17.578845257498813
31671,110.0,19.284456478309497,260.0,0.4084428,Niedersachsen,DSO:Avacon,17.518825548546225
32410,110.0,19.490220163982993,520.0,0.398823,Hessen,DSO:Syna,17.51825860365523
3633,110.0,20.799892056866607,260.0,0.33759505,Hessen,DSO:Syna,17.42188653515069
20278,110.0,20.799892056866607,260.0,0.33759505,Hessen,DSO:Syna,17.42188653515069
32764,110.0,21.68383874127796,260.0,0.29733354,Baden-Württemberg,DSO:NetzeBW,17.289251872546
20522,110.0,21.22439926251574,520.0,0.3087822,Baden-Württemberg,DSO:NetzeBW,17.165916751300813
20369,110.0,16.74714395660661,520.0,0.51444316,Nordrhein-Westfalen,DSO:Westnetz,16.989025621299316
32600,110.0,24.71471085322339,520.0,0.1778904,Baden-Württemberg,DSO:NetzeBW,16.753865719482118
24545,110.0,20.403275723978187,260.0,0.312737,Baden-Württemberg,DSO:NetzeBW,16.58249685861936
3272,110.0,23.338216450890712,520.0,0.20950553,Hessen,DSO:Syna,16.55859428603877
27980,110.0,26.7470026416827,520.0,0.10879315,Baden-Württemberg,DSO:NetzeBW,16.283391709313477
25477,110.0,20.63852809241982,260.0,0.2814561,Baden-Württemberg,DSO:NetzeBW,16.12810393828801
27143,110.0,20.86227149799396,520.0,0.26380712,Sachsen,DSO:MITNETZ,15.934751466543613
18693,110.0,20.828772434160165,260.0,0.2613,Schleswig-Holstein,DSO:SH-Netz,15.856943782727486
27473,110.0,25.533902502214552,520.0,0.11717832,Thüringen,DSO:MITNETZ,15.758971071950533
20973,110.0,25.384885535121363,260.0,0.12064243,Hessen,DSO:Syna,15.754936882081779
10751,110.0,24.131408293690193,260.0,0.15100995,Baden-Württemberg,DSO:NetzeBW,15.709786116623619
26623,110.0,24.53517957866614,520.0,0.13863187,Baden-Württemberg,DSO:NetzeBW,15.668947867413348
27013,110.0,23.831579761528342,520.0,0.1574587,Thüringen,DSO:MITNETZ,15.668278566876642
26913,110.0,16.809671639258895,520.0,0.43079543,Baden-Württemberg,DSO:NetzeBW,15.646365560736813
25758,110.0,18.103050168441683,520.0,0.36174488,Baden-Württemberg,DSO:NetzeBW,15.6002108072803
32259,110.0,19.855830489896125,260.0,0.28565815,Baden-Württemberg,DSO:NetzeBW,15.599894475750759
7194,110.0,24.30905055619569,260.0,0.13954812,Nordrhein-Westfalen,DSO:Westnetz,15.546807652279083
17051,110.0,24.30905055619569,260.0,0.13954812,Nordrhein-Westfalen,DSO:Westnetz,15.546807652279083
27806,110.0,20.714913094468866,520.0,0.24039105,Hessen,DSO:Syna,15.337135552499527
31576,110.0,19.821721271922662,520.0,0.25879785,Baden-Württemberg,DSO:NetzeBW,15.040680158123482
13518,110.0,26.256819412961537,260.0,0.071932085,Sachsen,DSO:MITNETZ,15.017117272977513
17718,110.0,11.188231982027588,260.0,0.8196015,Schleswig-Holstein,DSO:SH-Netz,14.764008106338052
8342,110.0,11.188231982027588,260.0,0.8196015,Schleswig-Holstein,DSO:SH-Netz,14.764008106338052
16157,110.0,13.190224429661727,260.0,0.6168985,Nordrhein-Westfalen,DSO:Westnetz,14.73214236399805
6039,110.0,13.190224429661727,260.0,0.6168985,Nordrhein-Westfalen,DSO:Westnetz,14.73214236399805
17630,110.0,16.59218841650481,260.0,0.37055278,Hessen,DSO:Syna,14.444375723136487
8265,110.0,16.59218841650481,260.0,0.37055278,Hessen,DSO:Syna,14.444375723136487
9463,110.0,13.786450505678598,260.0,0.5446266,Hessen,DSO:Syna,14.40169282944117
