old_bus,new_bus,reason,new_id,voltage
22,21,substation_simplification,21,
32,34742,substation_simplification,34742,
324,34742,substation_simplification,34742,
485,34742,substation_simplification,34742,
326,34742,substation_simplification,34742,
41,34742,substation_simplification,34742,
725,34742,substation_simplification,34742,
727,34742,substation_simplification,34742,
683,682,substation_simplification,682,
55,51,substation_simplification,51,
80,85,substation_simplification,85,
83,444,substation_simplification,444,
84,444,substation_simplification,444,
40158,96,substation_simplification,96,
268,36061,substation_simplification,36061,
134,36061,substation_simplification,36061,
202,201,substation_simplification,201,
211,213,substation_simplification,213,
232,230,substation_simplification,230,
1398,240,substation_simplification,240,
38808,242,substation_simplification,242,
38754,242,substation_simplification,242,
35360,246,substation_simplification,246,
38883,432,substation_simplification,432,
449,445,substation_simplification,445,
32230,445,substation_simplification,445,
490,35167,substation_simplification,35167,
38459,503,substation_simplification,503,
1580,590,substation_simplification,590,
591,590,substation_simplification,590,
857,617,substation_simplification,617,
618,617,substation_simplification,617,
34979,650,substation_simplification,650,
1702,650,substation_simplification,650,
1703,650,substation_simplification,650,
651,650,substation_simplification,650,
703,34975,substation_simplification,34975,
7012,34975,substation_simplification,34975,
14581,34975,substation_simplification,34975,
769,767,substation_simplification,767,
774,39280,substation_simplification,39280,
818,815,substation_simplification,815,
821,819,substation_simplification,819,
851,850,substation_simplification,850,
898,895,substation_simplification,895,
1125,895,substation_simplification,895,
928,926,substation_simplification,926,
1346,926,substation_simplification,926,
937,38589,substation_simplification,38589,
980,35696,substation_simplification,35696,
34860,1019,substation_simplification,1019,
38985,1078,substation_simplification,1078,
1179,35174,substation_simplification,35174,
7592,39306,substation_simplification,39306,
1203,39306,substation_simplification,39306,
8537,39306,substation_simplification,39306,
36095,39306,substation_simplification,39306,
34856,1225,substation_simplification,1225,
1236,1231,substation_simplification,1231,
37264,1378,substation_simplification,1378,
38337,37834,substation_simplification,37834,
38338,37834,substation_simplification,37834,
1452,37834,substation_simplification,37834,
39949,1479,substation_simplification,1479,
39950,1479,substation_simplification,1479,
5243,1679,substation_simplification,1679,
39186,1721,substation_simplification,1721,
3682,1725,substation_simplification,1725,
1770,1766,substation_simplification,1766,
18614,18613,substation_simplification,18613,
34751,18613,substation_simplification,18613,
1800,1794,substation_simplification,1794,
5404,1794,substation_simplification,1794,
4000,35107,substation_simplification,35107,
31197,35107,substation_simplification,35107,
4001,35107,substation_simplification,35107,
1829,35107,substation_simplification,35107,
26953,35107,substation_simplification,35107,
27599,35107,substation_simplification,35107,
6001,35107,substation_simplification,35107,
33277,35107,substation_simplification,35107,
3999,35107,substation_simplification,35107,
5450,1836,substation_simplification,1836,
5451,1836,substation_simplification,1836,
5452,1836,substation_simplification,1836,
37342,1836,substation_simplification,1836,
1868,1872,substation_simplification,1872,
1870,1869,substation_simplification,1869,
2146,34807,substation_simplification,34807,
1879,34807,substation_simplification,34807,
1895,1893,substation_simplification,1893,
3448,1897,substation_simplification,1897,
2978,34771,substation_simplification,34771,
4259,34771,substation_simplification,34771,
4260,34771,substation_simplification,34771,
3688,34771,substation_simplification,34771,
2006,34771,substation_simplification,34771,
2007,34771,substation_simplification,34771,
1912,34771,substation_simplification,34771,
2969,34771,substation_simplification,34771,
1920,34928,substation_simplification,34928,
34930,34928,substation_simplification,34928,
1962,1964,substation_simplification,1964,
32984,1966,substation_simplification,1966,
1965,1966,substation_simplification,1966,
35186,1968,substation_simplification,1968,
38217,1981,substation_simplification,1981,
4925,1981,substation_simplification,1981,
1985,1984,substation_simplification,1984,
2789,1984,substation_simplification,1984,
39206,1984,substation_simplification,1984,
1983,1984,substation_simplification,1984,
2002,2001,substation_simplification,2001,
36701,2011,substation_simplification,2011,
3403,35331,substation_simplification,35331,
2023,35331,substation_simplification,35331,
2026,2025,substation_simplification,2025,
36296,2033,substation_simplification,2033,
36299,2033,substation_simplification,2033,
10622,2033,substation_simplification,2033,
10623,2033,substation_simplification,2033,
35627,2039,substation_simplification,2039,
2043,2039,substation_simplification,2039,
4867,2049,substation_simplification,2049,
9601,37840,substation_simplification,37840,
9604,37840,substation_simplification,37840,
2058,37840,substation_simplification,37840,
2059,37840,substation_simplification,37840,
9873,37840,substation_simplification,37840,
2062,2061,substation_simplification,2061,
2120,2119,substation_simplification,2119,
2122,2119,substation_simplification,2119,
2127,2142,substation_simplification,2142,
3426,35385,substation_simplification,35385,
2794,35385,substation_simplification,35385,
4107,35385,substation_simplification,35385,
2188,35385,substation_simplification,35385,
2189,35385,substation_simplification,35385,
4108,35385,substation_simplification,35385,
6439,2192,substation_simplification,2192,
2209,2207,substation_simplification,2207,
2210,2207,substation_simplification,2207,
2211,2207,substation_simplification,2207,
2206,2207,substation_simplification,2207,
2213,2212,substation_simplification,2212,
2425,2246,substation_simplification,2246,
3764,35276,substation_simplification,35276,
3455,35276,substation_simplification,35276,
2247,35276,substation_simplification,35276,
35328,2250,substation_simplification,2250,
2284,2283,substation_simplification,2283,
3203,34768,substation_simplification,34768,
25325,34768,substation_simplification,34768,
2286,34768,substation_simplification,34768,
35744,2300,substation_simplification,2300,
2303,2304,substation_simplification,2304,
2349,2348,substation_simplification,2348,
7806,2413,substation_simplification,2413,
35222,7804,substation_simplification,7804,
2417,2416,substation_simplification,2416,
2481,34759,substation_simplification,34759,
3458,35049,substation_simplification,35049,
3462,35049,substation_simplification,35049,
2506,35049,substation_simplification,35049,
5303,35049,substation_simplification,35049,
2544,36580,substation_simplification,36580,
36578,36580,substation_simplification,36580,
4562,2547,substation_simplification,2547,
38944,2549,substation_simplification,2549,
38275,2592,substation_simplification,2592,
2625,36931,substation_simplification,36931,
2631,36931,substation_simplification,36931,
2672,35826,substation_simplification,35826,
4095,2675,substation_simplification,2675,
39459,36478,substation_simplification,36478,
23528,36478,substation_simplification,36478,
5970,36478,substation_simplification,36478,
5971,36478,substation_simplification,36478,
5972,36478,substation_simplification,36478,
5973,36478,substation_simplification,36478,
2678,36478,substation_simplification,36478,
27612,36478,substation_simplification,36478,
35349,2757,substation_simplification,2757,
2806,2805,substation_simplification,2805,
2813,2812,substation_simplification,2812,
2819,36943,substation_simplification,36943,
2820,36943,substation_simplification,36943,
9486,36943,substation_simplification,36943,
7824,36943,substation_simplification,36943,
7822,36943,substation_simplification,36943,
7061,7060,substation_simplification,7060,
7098,37347,substation_simplification,37347,
2866,37347,substation_simplification,37347,
35077,37347,substation_simplification,37347,
2890,2889,substation_simplification,2889,
5955,5953,substation_simplification,5953,
35784,2953,substation_simplification,2953,
2977,2970,substation_simplification,2970,
3061,3058,substation_simplification,3058,
3107,3106,substation_simplification,3106,
36241,3118,substation_simplification,3118,
3156,3157,substation_simplification,3157,
3183,3184,substation_simplification,3184,
35098,3207,substation_simplification,3207,
3888,3293,substation_simplification,3293,
12392,3343,substation_simplification,3343,
3351,3343,substation_simplification,3343,
3348,3347,substation_simplification,3347,
36132,3381,substation_simplification,3381,
3425,3424,substation_simplification,3424,
3428,3433,substation_simplification,3433,
6019,34957,substation_simplification,34957,
6660,34957,substation_simplification,34957,
6535,34957,substation_simplification,34957,
6024,34957,substation_simplification,34957,
6012,34957,substation_simplification,34957,
6026,34957,substation_simplification,34957,
3564,34957,substation_simplification,34957,
3439,34957,substation_simplification,34957,
3568,34957,substation_simplification,34957,
3441,34957,substation_simplification,34957,
6269,34957,substation_simplification,34957,
6268,34957,substation_simplification,34957,
6013,34957,substation_simplification,34957,
3449,3445,substation_simplification,3445,
3450,3446,substation_simplification,3446,
3454,3453,substation_simplification,3453,
4735,3468,substation_simplification,3468,
3576,36082,substation_simplification,36082,
10834,36082,substation_simplification,36082,
3574,36082,substation_simplification,36082,
3633,3634,substation_simplification,3634,
4362,3634,substation_simplification,3634,
3644,3643,substation_simplification,3643,
5889,36967,substation_simplification,36967,
3777,36967,substation_simplification,36967,
7990,36967,substation_simplification,36967,
3832,34941,substation_simplification,34941,
3846,3845,substation_simplification,3845,
3848,3847,substation_simplification,3847,
35223,4059,substation_simplification,4059,
4258,4255,substation_simplification,4255,
7336,4373,substation_simplification,4373,
4371,4373,substation_simplification,4373,
4372,4373,substation_simplification,4373,
35800,4373,substation_simplification,4373,
35829,4419,substation_simplification,4419,
4508,36563,substation_simplification,36563,
4526,4525,substation_simplification,4525,
36538,4612,substation_simplification,4612,
4660,35140,substation_simplification,35140,
16083,4733,substation_simplification,4733,
38181,4733,substation_simplification,4733,
33052,4870,substation_simplification,4870,
39313,4885,substation_simplification,4885,
4889,4888,substation_simplification,4888,
4890,4888,substation_simplification,4888,
4921,4920,substation_simplification,4920,
39119,5000,substation_simplification,5000,
5096,5089,substation_simplification,5089,
5093,36088,substation_simplification,36088,
36240,5185,substation_simplification,5185,
35528,5188,substation_simplification,5188,
6998,5195,substation_simplification,5195,
5833,5229,substation_simplification,5229,
5230,5229,substation_simplification,5229,
5255,5251,substation_simplification,5251,
5270,5269,substation_simplification,5269,
34985,5304,substation_simplification,5304,
38722,5328,substation_simplification,5328,
5511,5512,substation_simplification,5512,
5330,5512,substation_simplification,5512,
36697,5512,substation_simplification,5512,
5342,5512,substation_simplification,5512,
6176,5395,substation_simplification,5395,
37048,5400,substation_simplification,5400,
5508,34738,substation_simplification,34738,
34905,5514,substation_simplification,5514,
37896,5527,substation_simplification,5527,
36052,5533,substation_simplification,5533,
35181,5561,substation_simplification,5561,
6687,5590,substation_simplification,5590,
5976,5644,substation_simplification,5644,
6114,6113,substation_simplification,6113,
36600,5683,substation_simplification,5683,
5740,5739,substation_simplification,5739,
10035,5845,substation_simplification,5845,
5856,35204,substation_simplification,35204,
5866,34842,substation_simplification,34842,
7757,34842,substation_simplification,34842,
5861,34842,substation_simplification,34842,
5937,5938,substation_simplification,5938,
25635,36909,substation_simplification,36909,
5950,36909,substation_simplification,36909,
35065,6051,substation_simplification,6051,
39428,6109,substation_simplification,6109,
35427,12778,substation_simplification,12778,
6546,6156,substation_simplification,6156,
6180,6181,substation_simplification,6181,
6270,6317,substation_simplification,6317,
6271,6317,substation_simplification,6317,
27872,6390,substation_simplification,6390,
6489,6487,substation_simplification,6487,
36889,6541,substation_simplification,6541,
40194,6548,substation_simplification,6548,
34784,6623,substation_simplification,6623,
17812,6623,substation_simplification,6623,
37845,6649,substation_simplification,6649,
6650,6653,substation_simplification,6653,
6652,6653,substation_simplification,6653,
6849,6847,substation_simplification,6847,
7032,36916,substation_simplification,36916,
35219,7055,substation_simplification,7055,
7171,25775,substation_simplification,25775,
35596,25775,substation_simplification,25775,
39817,7201,substation_simplification,7201,
9847,9844,substation_simplification,9844,
9846,36121,substation_simplification,36121,
7263,36121,substation_simplification,36121,
7359,7358,substation_simplification,7358,
7523,7524,substation_simplification,7524,
7535,7532,substation_simplification,7532,
38593,35002,substation_simplification,35002,
7587,35002,substation_simplification,35002,
26855,35002,substation_simplification,35002,
8202,35002,substation_simplification,35002,
7886,35002,substation_simplification,35002,
8751,35002,substation_simplification,35002,
8094,35002,substation_simplification,35002,
7600,7601,substation_simplification,7601,
7609,36530,substation_simplification,36530,
25232,36392,substation_simplification,36392,
25747,36392,substation_simplification,36392,
23638,36392,substation_simplification,36392,
7638,36392,substation_simplification,36392,
30829,7640,substation_simplification,7640,
35316,7647,substation_simplification,7647,
34953,7656,substation_simplification,7656,
7707,7705,substation_simplification,7705,
7709,36738,substation_simplification,36738,
7747,37920,substation_simplification,37920,
7756,36915,substation_simplification,36915,
39168,7793,substation_simplification,7793,
8142,7956,substation_simplification,7956,
7834,7838,substation_simplification,7838,
7836,7838,substation_simplification,7838,
7839,7838,substation_simplification,7838,
8381,7841,substation_simplification,7841,
37428,7856,substation_simplification,7856,
7865,36678,substation_simplification,36678,
34866,7880,substation_simplification,7880,
39083,7885,substation_simplification,7885,
16265,7891,substation_simplification,7891,
7893,7891,substation_simplification,7891,
35613,7930,substation_simplification,7930,
7963,7961,substation_simplification,7961,
8318,7975,substation_simplification,7975,
7984,7983,substation_simplification,7983,
8015,8016,substation_simplification,8016,
36075,8115,substation_simplification,8115,
8118,8117,substation_simplification,8117,
34849,8162,substation_simplification,8162,
11037,8172,substation_simplification,8172,
8217,35574,substation_simplification,35574,
16289,35574,substation_simplification,35574,
8242,8241,substation_simplification,8241,
8303,39292,substation_simplification,39292,
35940,8460,substation_simplification,8460,
39392,8463,substation_simplification,8463,
27626,34870,substation_simplification,34870,
8523,34870,substation_simplification,34870,
9139,8549,substation_simplification,8549,
8637,8636,substation_simplification,8636,
8748,8744,substation_simplification,8744,
38884,8747,substation_simplification,8747,
39082,8755,substation_simplification,8755,
8833,8834,substation_simplification,8834,
34949,8985,substation_simplification,8985,
9187,38564,substation_simplification,38564,
38478,9219,substation_simplification,9219,
37269,9335,substation_simplification,9335,
9445,17720,substation_simplification,17720,
9461,35212,substation_simplification,35212,
24871,34835,substation_simplification,34835,
9483,34835,substation_simplification,34835,
30160,34835,substation_simplification,34835,
25111,34835,substation_simplification,34835,
25176,34835,substation_simplification,34835,
25980,34835,substation_simplification,34835,
9587,9584,substation_simplification,9584,
35960,9614,substation_simplification,9614,
10637,37761,substation_simplification,37761,
10638,37761,substation_simplification,37761,
9621,37761,substation_simplification,37761,
37758,37761,substation_simplification,37761,
9644,9646,substation_simplification,9646,
39053,9646,substation_simplification,9646,
35006,9646,substation_simplification,9646,
9647,9648,substation_simplification,9648,
37787,9656,substation_simplification,9656,
9825,35895,substation_simplification,35895,
10209,35895,substation_simplification,35895,
12679,35895,substation_simplification,35895,
12427,35895,substation_simplification,35895,
10203,35895,substation_simplification,35895,
9842,36109,substation_simplification,36109,
32618,36109,substation_simplification,36109,
9867,9868,substation_simplification,9868,
9869,9868,substation_simplification,9868,
9870,9868,substation_simplification,9868,
9879,9872,substation_simplification,9872,
9871,9872,substation_simplification,9872,
10333,10332,substation_simplification,10332,
10946,9896,substation_simplification,9896,
10947,9896,substation_simplification,9896,
10948,9896,substation_simplification,9896,
38821,9896,substation_simplification,9896,
9897,9896,substation_simplification,9896,
9899,9896,substation_simplification,9896,
9900,9896,substation_simplification,9896,
9929,9930,substation_simplification,9930,
10652,38044,substation_simplification,38044,
38364,38044,substation_simplification,38044,
9949,38044,substation_simplification,38044,
9960,36871,substation_simplification,36871,
39276,36871,substation_simplification,36871,
9977,35448,substation_simplification,35448,
16184,38554,substation_simplification,38554,
10009,38554,substation_simplification,38554,
10115,10114,substation_simplification,10114,
10409,36334,substation_simplification,36334,
10963,36334,substation_simplification,36334,
10163,36334,substation_simplification,36334,
11738,36334,substation_simplification,36334,
34906,10166,substation_simplification,10166,
10243,10241,substation_simplification,10241,
10338,34986,substation_simplification,34986,
10340,37225,substation_simplification,37225,
10341,37225,substation_simplification,37225,
34983,10395,substation_simplification,10395,
11130,10453,substation_simplification,10453,
10454,10453,substation_simplification,10453,
36311,10479,substation_simplification,10479,
18035,10494,substation_simplification,10494,
10495,10494,substation_simplification,10494,
36807,10578,substation_simplification,10578,
35451,10746,substation_simplification,10746,
38959,11740,substation_simplification,11740,
12513,11775,substation_simplification,11775,
37770,11775,substation_simplification,11775,
11779,11778,substation_simplification,11778,
35453,11778,substation_simplification,11778,
12707,11778,substation_simplification,11778,
34780,11811,substation_simplification,11811,
38764,11840,substation_simplification,11840,
11843,11842,substation_simplification,11842,
12300,11847,substation_simplification,11847,
37742,11847,substation_simplification,11847,
11908,11909,substation_simplification,11909,
12428,11909,substation_simplification,11909,
35388,11924,substation_simplification,11924,
36694,11994,substation_simplification,11994,
12137,12142,substation_simplification,12142,
36923,12142,substation_simplification,12142,
35180,12140,substation_simplification,12140,
12212,37813,substation_simplification,37813,
28942,37813,substation_simplification,37813,
12245,20145,substation_simplification,20145,
35592,12363,substation_simplification,12363,
12259,12363,substation_simplification,12363,
37434,12325,substation_simplification,12325,
39099,12325,substation_simplification,12325,
12391,12405,substation_simplification,12405,
12402,12403,substation_simplification,12403,
12477,12478,substation_simplification,12478,
12532,12530,substation_simplification,12530,
18299,12531,substation_simplification,12531,
12541,12531,substation_simplification,12531,
12651,12650,substation_simplification,12650,
12678,35712,substation_simplification,35712,
13318,12728,substation_simplification,12728,
38196,12730,substation_simplification,12730,
12740,12739,substation_simplification,12739,
35305,13087,substation_simplification,13087,
36858,13089,substation_simplification,13089,
13206,13213,substation_simplification,13213,
24541,13207,substation_simplification,13207,
31054,35513,substation_simplification,35513,
26164,35513,substation_simplification,35513,
30619,35513,substation_simplification,35513,
13214,35513,substation_simplification,35513,
38003,13450,substation_simplification,13450,
13504,13503,substation_simplification,13503,
13616,13621,substation_simplification,13621,
13618,13621,substation_simplification,13621,
39171,13625,substation_simplification,13625,
13699,13700,substation_simplification,13700,
13804,13805,substation_simplification,13805,
13813,13811,substation_simplification,13811,
14434,35487,substation_simplification,35487,
13815,35487,substation_simplification,35487,
13838,13833,substation_simplification,13833,
23959,13834,substation_simplification,13834,
14817,13937,substation_simplification,13937,
14815,13937,substation_simplification,13937,
13950,35176,substation_simplification,35176,
35164,13961,substation_simplification,13961,
13968,13967,substation_simplification,13967,
14226,13967,substation_simplification,13967,
14227,13967,substation_simplification,13967,
13982,36854,substation_simplification,36854,
34846,13993,substation_simplification,13993,
14127,14126,substation_simplification,14126,
15079,14143,substation_simplification,14143,
36527,14157,substation_simplification,14157,
27564,35368,substation_simplification,35368,
14268,35368,substation_simplification,35368,
14330,14328,substation_simplification,14328,
14342,14339,substation_simplification,14339,
14395,14396,substation_simplification,14396,
38735,14396,substation_simplification,14396,
14400,14399,substation_simplification,14399,
15451,14399,substation_simplification,14399,
16041,14406,substation_simplification,14406,
36825,14415,substation_simplification,14415,
38436,14470,substation_simplification,14470,
19616,37933,substation_simplification,37933,
19617,37933,substation_simplification,37933,
14535,37933,substation_simplification,37933,
18409,37933,substation_simplification,37933,
14538,37933,substation_simplification,37933,
20878,37933,substation_simplification,37933,
14749,14747,substation_simplification,14747,
36780,14909,substation_simplification,14909,
15087,15086,substation_simplification,15086,
15184,15185,substation_simplification,15185,
36753,15185,substation_simplification,15185,
15645,15644,substation_simplification,15644,
15744,15746,substation_simplification,15746,
39612,15920,substation_simplification,15920,
36730,15921,substation_simplification,15921,
36729,15922,substation_simplification,15922,
17872,15939,substation_simplification,15939,
37093,16824,substation_simplification,16824,
